question_id	doc_id
0	20798
1	26354
2	5068
3	10691
3	3789
3	16503
3	21676
3	5949
4	18502
4	23498
5	19534
5	10171
6	26421
7	23167
7	871
8	6641
9	20900
10	10162
11	5300
11	6903
12	10982
12	7934
13	3885
14	15026
15	157
16	3809
16	15073
17	21180
18	14765
18	23712
19	2370
19	8634
19	7395
19	16140
20	5512
21	15175
21	26260
22	5723
23	10761
24	24002
25	9250
26	16893
27	17077
28	2307
28	1033
29	20816
30	26510
30	11970
30	11688
31	287
32	16369
32	11514
33	264
34	15295
34	22004
35	9639
36	3379
36	17172
37	2497
38	14498
39	9129
39	22886
39	10142
39	15445
39	9593
40	19909
40	5094
41	26491
42	10944
43	21196
44	11131
45	17959
45	21349
46	3907
46	16925
47	14301
47	14992
48	18508
49	9731
50	8431
51	9338
52	17551
52	7074
53	3115
54	21635
54	15933
54	19129
55	2880
56	10780
57	4598
58	25166
58	2650
58	24072
59	9098
60	23426
61	15934
62	24873
63	5955
63	813
64	19293
64	3727
65	16144
65	2263
66	16406
67	14776
68	26601
68	11878
68	11417
69	11157
69	11101
70	7760
71	12800
72	7550
73	4156
74	13286
75	21410
76	7355
77	20145
78	24138
79	18841
80	8056
81	23092
81	20914
81	22367
81	20300
82	2210
83	2222
83	18348
84	8064
85	25793
86	2025
87	19324
88	26908
89	21757
90	20104
90	24400
90	5237
91	18887
92	26772
93	25658
94	6396
95	4531
95	23523
96	3561
96	2837
97	110
98	16576
99	12853
100	22899
100	12358
101	25018
102	14524
102	12364
102	15068
103	25479
104	12467
105	21158
106	27390
106	2769
107	3602
108	7552
109	13627
109	22186
109	3453
110	13415
110	21597
110	18595
111	24253
112	17815
113	7558
114	1717
115	18267
115	19766
116	1196
116	19665
117	22256
118	870
119	4826
119	8041
119	16735
119	17707
119	20255
119	10210
119	14327
119	8165
120	19149
120	3204
121	4613
122	4854
123	2369
124	11664
124	13181
125	25827
125	23057
125	591
125	7885
126	16952
127	4833
127	16912
128	9071
129	2738
130	4582
130	27062
130	5719
131	7417
132	5348
132	14832
133	451
133	18945
133	7945
133	15858
134	5035
135	8525
136	21345
136	2197
137	14042
138	12199
139	18238
139	5935
139	23347
140	26194
141	7384
142	12490
142	13339
142	16011
143	671
144	22748
145	18936
146	12304
147	7088
148	391
149	4116
150	8777
150	1290
150	20974
151	12854
151	21328
152	7695
153	7823
154	25653
155	7211
155	18244
155	17810
155	15349
156	14196
157	21363
158	11993
159	7766
159	10765
159	4056
159	21962
160	9341
161	52
162	18474
163	2110
164	25433
165	23184
166	1674
166	21699
167	9812
168	21142
169	15893
169	24987
170	20284
170	18018
170	17687
171	14617
171	13238
171	27343
172	6171
173	2234
174	15223
175	25559
175	18825
175	25848
176	17843
177	1814
177	23422
177	9607
177	1159
178	7877
179	6168
180	24774
180	23527
180	8803
180	5911
181	11607
182	2504
182	9520
183	13149
183	10993
184	8168
